,university,carrer,inscription_date,first_name,last_name,gender,age,location,email
22,-universidad-abierta-interamericana,Farmacia,2020-10-10,Lynn,sharp,F,1.0,AZUL,Tamara73@hotmail.com
23,-universidad-abierta-interamericana,Licenciatura-en-administración-,2020-10-29,Julie,vargas,F,-41.0,BATHURST ESTACION,Iochoa@yahoo.com
24,-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,2020-09-22,Benjamin,curry,M,17.0,EL PORVENIR,Rebekah32@hotmail.com
25,-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,2020-11-13,Rhonda,guerrero,F,0.0,ESTACION YERUA,Isabelwilliams@yahoo.com
26,-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,2020-09-16,Katie,williams,F,27.0,EL BOMBERO,Michaelthomas@hotmail.com
27,-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,2020-11-23,Jennifer,king,F,5.0,CAMPO CALVO,Daniel32@gmail.com
28,-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,2020-12-28,Cynthia,riley,F,-30.0,MASUREL,Erica19@gmail.com
29,-universidad-abierta-interamericana,Farmacia,2020-10-13,daniel,knight,M,-40.0,ARROYO BALMACEDA,Darrylhogan@gmail.com
30,-universidad-abierta-interamericana,Farmacia,2020-12-15,Melanie,fox,F,-39.0,COLONIA DURAN,Hhays@yahoo.com
31,-universidad-abierta-interamericana,Licenciatura-en-musicoterapia,2020-12-15,Brenda,schultz,F,-21.0,CALILEGUA,Gwhite@gmail.com
32,-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,2021-01-31,Christopher,smith,M,16.0,LA DORITA,Jgross@gmail.com
33,-universidad-abierta-interamericana,Actuario-,2020-11-06,Kathleen,lee,F,2.0,CASTILLA,Linda06@yahoo.com
34,-universidad-abierta-interamericana,Agronomía,2021-01-09,Dale,rodriguez,M,8.0,COLONIA EL AGUARA,Howellmichael@yahoo.com
35,-universidad-abierta-interamericana,Actuario-,2020-09-16,Kristina,williams,F,-1.0,ASCENCION,Stephanie11@gmail.com
36,-universidad-abierta-interamericana,Actuario-,2020-10-03,Steven,smith,M,-27.0,CERES,Jose07@hotmail.com
37,-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,2020-11-24,Angela,davis,F,44.0,VILLA SANTOS TESEI,Terrimadden@gmail.com
38,-universidad-abierta-interamericana,Diseño-industrial,2020-10-02,Tracy,mclean,F,31.0,ALABAMA,Brownjames@gmail.com
39,-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,2020-09-05,Edgar,leach,M,25.0,AGUA DE CASTILLA,Michael26@gmail.com
40,-universidad-abierta-interamericana,Bioquímica,2020-12-16,Katherine,vega,F,-35.0,EL LENGUARAZ,Sarah28@yahoo.com
41,-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,2020-12-20,Joshua,wheeler,M,45.0,BERABEVU,Fgarza@yahoo.com
42,-universidad-abierta-interamericana,Agronomía,2021-01-23,Stephanie,johnson,F,0.0,IGARZABAL,Hilldanielle@yahoo.com
43,-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,2020-11-18,Jessica,lewis,F,14.0,ANGELONI,Jenkinssusan@hotmail.com
44,-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,2020-11-22,Anna,miles,F,12.0,ANTUMPA,Hollypace@hotmail.com
45,-universidad-abierta-interamericana,Ingeniería-electrónica,2020-09-10,Morgan,solomon,F,-26.0,17 DE AGOSTO,Lawrence30@gmail.com
46,-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-computación,2020-09-28,Riley,williams,M,-19.0,CARRIZAL NORTE,Johnnythompson@gmail.com
47,-universidad-abierta-interamericana,Ingeniería-en-informática,2020-09-25,Timothy,williams,M,35.0,ADAN QUIROGA,Reneemorton@gmail.com
48,-universidad-abierta-interamericana,Licenciatura-en-terapia-ocupacional,2020-10-03,Paul,howard,M,45.0,CONDARCO,Theresahooper@yahoo.com
49,-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,2021-01-10,Andrea,rose,F,35.0,EST JAUREGUI VA FLANDRIA,Mendezdonald@hotmail.com
50,-universidad-abierta-interamericana,Ingeniería-mecánica,2020-12-23,Samuel,moyer,M,14.0,LA TRANCA,Tstrickland@hotmail.com
51,-universidad-abierta-interamericana,Medicina,2020-12-05,Lori,morales,F,8.0,BARRIO FERRI,Susanguerra@yahoo.com
52,-universidad-abierta-interamericana,Licenciatura-en-sociología-,2020-11-17,Terri,hensley,F,34.0,ARIJON,Eflores@hotmail.com
53,-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,2021-01-18,Linda,fitzgerald,F,-28.0,DESTILERIA FISCAL,Jennifer86@hotmail.com
54,-universidad-abierta-interamericana,Licenciatura-en-planificación-y-diseño-del-paisaje,2021-01-11,Alicia,hill,F,45.0,CARLOS PELLEGRINI,Fdavis@gmail.com
55,-universidad-abierta-interamericana,Licenciatura-en-psicología,2020-12-05,James,conrad,M,8.0,LOS CARDOS,Sali@yahoo.com
56,-universidad-abierta-interamericana,Licenciatura-en-administración-,2020-11-23,Arthur,andrews,M,-23.0,AMUSCHINA,Wallersandra@yahoo.com
57,-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,2020-12-30,Amanda,foster,F,-46.0,CALCHAQUI,Rward@gmail.com
58,-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,2020-10-16,Robert,leonard,M,-32.0,VILLA OLIVARI,Gonzalezlisa@yahoo.com
59,-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,2021-01-09,Diana,elliott,F,43.0,COLONIA BARGA,Marysmith@gmail.com
60,-universidad-abierta-interamericana,Licenciatura-en-musicoterapia,2021-01-02,Anthony,romero,M,-37.0,VALLE HONDO,Heatherwalters@gmail.com
61,-universidad-abierta-interamericana,Licenciatura-en-administración-,2021-01-24,Sonya,sandoval,F,-45.0,COLONIA TACURALES,Leejohn@gmail.com
62,-universidad-abierta-interamericana,Licenciatura-en-ciencia-y-tecnología-de-alimentos,2020-10-16,Jeffrey,suarez,M,-41.0,ALTO DE SIERRA,Paulacasey@hotmail.com
63,-universidad-abierta-interamericana,Ciencias-veterinarias,2020-09-04,Samuel,chaney,M,45.0,VILLA SANTOS TESEI,Velliott@gmail.com
64,-universidad-abierta-interamericana,Agronomía,2021-01-24,Gregory,young,M,-25.0,BERRAONDO,Johnsontracy@hotmail.com
65,-universidad-abierta-interamericana,Licenciatura-en-musicoterapia,2020-11-03,Leon,boyd,M,15.0,BAIGORRITA,Jennawilson@gmail.com
66,-universidad-abierta-interamericana,Ingeniería-electrónica,2021-01-16,Ralph,owen,M,-41.0,ARTURO SEGUI,Dthomas@hotmail.com
67,-universidad-abierta-interamericana,Ingeniería-mecánica,2020-09-10,Christy,knight,F,-10.0,KILOMETRO 112,Natalie64@gmail.com
68,-universidad-abierta-interamericana,Diseño-industrial,2020-10-20,Sean,lindsey,M,-40.0,BALNEARIO LOS ANGELES,Mmiles@hotmail.com
69,-universidad-abierta-interamericana,Licenciatura-en-sociología-,2020-11-25,Jamie,evans,F,10.0,CAMPO LA RIVIERE,Matthewmyers@yahoo.com
70,-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,2020-12-21,Kyle,keith,M,8.0,ADELA CORTI,Richardthompson@gmail.com
71,-universidad-abierta-interamericana,Licenciatura-en-planificación-y-diseño-del-paisaje,2020-11-25,April,simon,F,13.0,BARRANQUERAS,William33@yahoo.com
72,-universidad-abierta-interamericana,Agronomía,2020-10-04,Sara,richards,F,6.0,CANAL 15 CERRO DE LA GLORIA,Melaniekidd@yahoo.com
73,-universidad-abierta-interamericana,Licenciatura-en-ciencia-y-tecnología-de-alimentos,2020-11-19,Jonathan,butler,M,36.0,BANFIELD,Joseph05@yahoo.com
74,-universidad-abierta-interamericana,Contador-público-,2020-11-29,ashley,mooney,F,43.0,ALDEA MARIA LUISA,Gentryandrew@yahoo.com
75,-universidad-abierta-interamericana,Licenciatura-en-ciencia-y-tecnología-de-alimentos,2020-10-06,Julia,aguilar,F,-18.0,ALEGRE,Hudsonjorge@gmail.com
76,-universidad-abierta-interamericana,Licenciatura-en-musicoterapia,2021-01-04,Rachel,bautista,F,18.0,EL CARBALINO,Mwoodard@hotmail.com
77,-universidad-abierta-interamericana,Farmacia,2020-09-06,Danielle,porter,F,-6.0,AMAMBAY,Ylynch@hotmail.com
78,-universidad-abierta-interamericana,Ciencias-veterinarias,2021-01-30,Robert,schneider,M,25.0,EL HOYO,Brownmeghan@yahoo.com
79,-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,2020-09-22,Christopher,burke,M,33.0,CAÑADA LA NEGRA,Nichole90@hotmail.com
80,-universidad-abierta-interamericana,Licenciatura-en-relaciones-del-trabajo-,2020-10-03,Michael,schultz,M,-34.0,AGUA BLANCA,Stephaniewells@yahoo.com
81,-universidad-abierta-interamericana,Licenciatura-en-musicoterapia,2020-11-17,Jocelyn,davis,F,41.0,MARTIN CORONADO,Zcombs@yahoo.com
82,-universidad-abierta-interamericana,Técnico-para-bioterios-,2021-01-18,Susan,gardner,F,-3.0,ALFREDO PEÑA,Hadams@yahoo.com
83,-universidad-abierta-interamericana,Licenciatura-en-ciencias-biológicas,2021-01-17,Terrence,savage,M,50.0,ACHERAL,Denise94@yahoo.com
84,-universidad-abierta-interamericana,Arquitectura,2020-10-12,Benjamin,lewis,M,26.0,GOBERNADOR MOYANO,Williamdixon@hotmail.com
85,-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,2020-10-09,Andrew,torres,M,-30.0,ALDEA BELEIRO,Sarah53@hotmail.com
86,-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,2020-10-23,Pamela,irwin,F,-21.0,D ORBIGNY,Angeladickerson@gmail.com
87,-universidad-abierta-interamericana,Medicina,2021-01-24,Krista,martinez,F,-40.0,25 DE MAYO,Jerrycarson@gmail.com
88,-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-computación,2020-09-06,Alicia,wise,F,9.0,CAMPO LA FLOR LOS RALOS,Cabreralaurie@hotmail.com
89,-universidad-abierta-interamericana,Arquitectura,2020-09-09,Travis,weiss,M,39.0,ALPASINCHE,Jeremycarter@yahoo.com
90,-universidad-abierta-interamericana,Agronomía,2020-09-12,Christina,roberts,F,38.0,SAN FERNANDO,Dakotawilson@hotmail.com
91,-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,2020-11-14,Nicole,brown,F,-15.0,EL TROPEZON,Tiffanyadkins@yahoo.com
92,-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,2020-09-22,Shannon,owen,F,14.0,AGUSTIN ROCA,Tmacias@yahoo.com
93,-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,2021-01-03,Lori,wheeler,F,-3.0,LOMAS DE ZAMORA,Hknight@yahoo.com
94,-universidad-abierta-interamericana,Arquitectura,2021-01-03,Michelle,smith,F,13.0,ANGOSTO DEL PERCHEL,Jamieramirez@hotmail.com
95,-universidad-abierta-interamericana,Ciencias-veterinarias,2021-01-08,Erin,cross,F,-39.0,BARRIO EMIR RAMON JUAREZ,Ccunningham@gmail.com
96,-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,2020-12-15,Juan,gonzalez,M,-28.0,BIGAND,Gcarlson@yahoo.com
97,-universidad-abierta-interamericana,Bioquímica,2020-09-01,Frank,bautista,M,15.0,ADAN QUIROGA,Wallsnathan@hotmail.com
98,-universidad-abierta-interamericana,Farmacia,2020-11-01,Rebecca,gilbert,F,-24.0,ALDEA MARIA LUISA,Juan94@hotmail.com
99,-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-educación-,2020-09-23,Edward,lewis,M,7.0,MECHA,Dmartin@hotmail.com
100,-universidad-abierta-interamericana,Licenciatura-en-planificación-y-diseño-del-paisaje,2021-01-04,Russell,odonnell,M,3.0,CAMPAMENTO SOL,Nicholasmeza@hotmail.com
101,-universidad-abierta-interamericana,Contador-público-,2020-09-14,Katie,lowe,F,19.0,INGENIERO ADOLFO SOURDEAUX,Rebecca30@hotmail.com
102,-universidad-abierta-interamericana,Licenciatura-en-relaciones-del-trabajo-,2020-09-08,Aaron,pope,M,30.0,ACONQUIJA,Stewartlindsey@gmail.com
103,-universidad-abierta-interamericana,Actuario-,2020-10-21,Patricia,bailey,F,-4.0,GRANADERO BAIGORRIA,Uaguirre@hotmail.com
104,-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,2020-11-02,Kelly,hogan,M,-13.0,EL SOMBRERITO,Donna19@hotmail.com
105,-universidad-abierta-interamericana,Agronomía,2020-10-26,Kayla,orozco,F,43.0,SANTA TERESITA,Robertoconnor@hotmail.com
106,-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-educación-,2021-01-14,Richard,garcia,M,18.0,LA LEGUA,Mary69@gmail.com
107,-universidad-abierta-interamericana,Ingeniería-electrónica,2020-10-30,Matthew,obrien,M,51.0,ARBUCO,Isaac40@gmail.com
108,-universidad-abierta-interamericana,Ingeniería-mecánica,2021-01-01,Sandra,smith,F,-40.0,CABAÑA EL CISNE,Mikepope@gmail.com
109,-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,2021-01-14,Katie,green,F,27.0,ABRALAITE,Starklynn@gmail.com
110,-universidad-abierta-interamericana,Ingeniería-mecánica,2020-11-16,Breanna,rollins,F,24.0,HARAS SAN JACINTO,Leestacy@hotmail.com
111,-universidad-abierta-interamericana,Licenciatura-en-terapia-ocupacional,2020-10-27,Robert,mann,M,16.0,ALBIGASTA,Mcclainlaura@hotmail.com
112,-universidad-abierta-interamericana,Ciencias-veterinarias,2020-10-24,Daniel,stone,M,32.0,COLONIA DEVOTO,Nixonsergio@hotmail.com
113,-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,2020-09-19,Steven,cox,M,10.0,FLORENTINO AMEGHINO,Scottmegan@yahoo.com
114,-universidad-abierta-interamericana,Licenciatura-en-relaciones-del-trabajo-,2020-12-05,Ashley,matthews,F,46.0,ASUNCION,Zparker@hotmail.com
115,-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,2020-12-15,Derek,dougherty,M,31.0,FARO QUERANDI,Barkerelizabeth@gmail.com
116,-universidad-abierta-interamericana,Ingeniería-mecánica,2020-10-29,Anna,richardson,F,19.0,CLAVERIE,Armstrongwendy@gmail.com
117,-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-educación-,2020-09-16,Kyle,sosa,M,41.0,SEY,Megan71@hotmail.com
118,-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,2020-10-23,Donna,glenn,F,-19.0,BOSQUES,Stephen50@gmail.com
119,-universidad-abierta-interamericana,Arquitectura,2021-01-11,Suzanne,watts,F,29.0,28 DE NOVIEMBRE,Hortonmatthew@gmail.com
120,-universidad-abierta-interamericana,Licenciatura-en-psicología,2020-09-10,colin,west,M,-8.0,COLONIA NUEVA MONTEVIDEO,Martinezjessica@yahoo.com
121,-universidad-abierta-interamericana,Ingeniería-mecánica,2020-09-12,Keith,price,M,19.0,ALIZAL,Wilsonkimberly@yahoo.com
122,-universidad-abierta-interamericana,Licenciatura-en-administración-,2021-01-18,Erica,clark,F,-26.0,ALPATACAL,Bgilbert@gmail.com
123,-universidad-abierta-interamericana,Diseño-industrial,2020-10-18,Gina,miller,F,40.0,SAN BERNARDO DEL TUYU,Greyes@gmail.com
124,-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,2020-12-28,Jennifer,nichols,F,-24.0,ALTO DEL SALADILLO,Gregory99@yahoo.com
125,-universidad-abierta-interamericana,Licenciatura-en-administración-,2020-09-06,Kathleen,acevedo,F,29.0,COLONIA SANTA ROSA,Stephanie82@yahoo.com
126,-universidad-abierta-interamericana,Licenciatura-en-planificación-y-diseño-del-paisaje,2020-09-17,Daniel,young,M,6.0,11 DE SEPTIEMBRE,Manninglindsey@hotmail.com
127,-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,2020-09-16,Spencer,davidson,M,23.0,ALIJILAN,April62@hotmail.com
128,-universidad-abierta-interamericana,Licenciatura-en-artes,2020-09-16,Philip,watkins,M,-24.0,9 DE JULIO,Pkirk@gmail.com
129,-universidad-abierta-interamericana,Arquitectura,2021-01-23,Debra,morris,F,-9.0,AGUA CERCADA,Lbrown@yahoo.com
130,-universidad-abierta-interamericana,Licenciatura-en-planificación-y-diseño-del-paisaje,2020-11-17,Meghan,underwood,F,4.0,ROLDAN,Perkinsjessica@yahoo.com
131,-universidad-abierta-interamericana,Licenciatura-en-relaciones-del-trabajo-,2020-12-15,Andrea,russell,F,2.0,CONDARCO,Wnelson@gmail.com
132,-universidad-abierta-interamericana,Licenciatura-en-planificación-y-diseño-del-paisaje,2021-01-12,Jeffery,phillips,M,-20.0,ESTACION YERUA,Jonathan88@yahoo.com
133,-universidad-abierta-interamericana,Ciencias-veterinarias,2020-10-29,David,white,M,-45.0,ANGUINAN,Larry50@hotmail.com
134,-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,2020-09-29,Robert,martin,M,31.0,ACASSUSO,Thomascastillo@yahoo.com
135,-universidad-abierta-interamericana,Licenciatura-en-sociología-,2020-09-30,Sherry,hernandez,F,-30.0,EL TALAR,Lchavez@hotmail.com
136,-universidad-abierta-interamericana,Actuario-,2020-12-05,Monica,larsen,F,19.0,CHELFORO,Shelleyjordan@yahoo.com
137,-universidad-abierta-interamericana,Licenciatura-en-administración-,2020-12-06,Michael,jones,M,-7.0,CANDELARIA SUD,Fgeorge@yahoo.com
138,-universidad-abierta-interamericana,Arquitectura,2021-01-13,Makayla,bray,F,31.0,COLONIA VALDEZ,Emilyleach@gmail.com
139,-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-computación,2020-10-26,Linda,williams,F,1.0,COSTA DEL RIO AZUL,Graymichael@hotmail.com
140,-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-educación-,2020-09-19,Collin,patrick,M,9.0,ARROYO MOLINO,Xperez@gmail.com
141,-universidad-abierta-interamericana,Contador-público-,2020-12-21,Alexis,carter,F,-27.0,COLONIA ALVEAR,Daniel01@yahoo.com
142,-universidad-abierta-interamericana,Ingeniería-mecánica,2020-10-28,Steven,tapia,M,-44.0,EL GUANACO,Daniel73@yahoo.com
143,-universidad-abierta-interamericana,Contador-público-,2020-11-18,Miguel,saunders,M,7.0,BONPLAND NORTE,Dcoffey@yahoo.com
144,-universidad-abierta-interamericana,Ingeniería-mecánica,2021-01-05,Karen,lane,F,49.0,CARLOS TEJEDOR,Wilsonbenjamin@gmail.com
145,-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,2020-11-13,Caleb,gray,M,44.0,ARROYO BALMACEDA,Mgarcia@yahoo.com
146,-universidad-abierta-interamericana,Bioquímica,2020-10-13,Shannon,adams,F,-42.0,ARROYO CANELON,Faith29@yahoo.com
147,-universidad-abierta-interamericana,Diseño-industrial,2020-09-26,David,berg,M,3.0,JUAN E BARRA,Reyescassie@yahoo.com
148,-universidad-abierta-interamericana,Diseño-industrial,2020-09-12,Justin,luna,M,-38.0,CAÑADON SECO,Brandon58@yahoo.com
149,-universidad-abierta-interamericana,Licenciatura-en-musicoterapia,2020-11-18,Brandon,pineda,M,43.0,CATUA,Dustin07@hotmail.com
150,-universidad-abierta-interamericana,Diseño-industrial,2020-11-30,Andrew,smith,M,12.0,BASE AEREA TENIENTE MATIENZO,Dgamble@yahoo.com
151,-universidad-abierta-interamericana,Diseño-industrial,2020-09-06,Dominic,kemp,M,-27.0,KILOMETRO 77,Zwolf@hotmail.com
152,-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,2020-11-13,Ashley,hebert,F,4.0,LA TORRECITA,Bergdavid@yahoo.com
153,-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,2020-09-12,johnathan,douglas,M,38.0,SAN ANDRES,Tgilmore@yahoo.com
154,-universidad-abierta-interamericana,Licenciatura-en-psicología,2020-10-31,Nicole,davis,F,16.0,ALFREDO DEMARCHI,Herrerasara@hotmail.com
155,-universidad-abierta-interamericana,Licenciatura-en-terapia-ocupacional,2021-01-11,Jenny,perez,F,13.0,ARIEL,Donald99@gmail.com
156,-universidad-abierta-interamericana,Arquitectura,2020-12-16,William,barker,M,-40.0,ALTO VERDE,Amberbowen@yahoo.com
157,-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,2020-10-09,Kimberly,mcdonald,F,48.0,GARCIA DEL RIO,Allenheather@hotmail.com
158,-universidad-abierta-interamericana,Licenciatura-en-artes,2020-10-24,Debbie,short,F,15.0,FORTIN LAVALLE,Jade48@yahoo.com
159,-universidad-abierta-interamericana,Licenciatura-en-relaciones-del-trabajo-,2020-11-29,Joseph,thomas,M,9.0,DON TORCUATO,Stephen30@gmail.com
160,-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-educación-,2020-12-06,Laura,mcdonald,F,-36.0,GOBERNADOR LANUSSE,Fcoleman@gmail.com
161,-universidad-abierta-interamericana,Arquitectura,2020-12-06,Laura,johnson,F,12.0,COLONIA ALBERDI,Martinezcarolyn@yahoo.com
162,-universidad-abierta-interamericana,Licenciatura-en-artes,2020-11-15,Jessica,gilbert,F,48.0,BOLIVAR,Ydunn@hotmail.com
163,-universidad-abierta-interamericana,Licenciatura-en-artes,2020-12-10,Debra,padilla,F,-27.0,ARATA,Pmontgomery@gmail.com
164,-universidad-abierta-interamericana,Licenciatura-en-psicología,2020-09-05,Edward,young,M,-36.0,BAJO GRANDE,Ericapennington@hotmail.com
165,-universidad-abierta-interamericana,Licenciatura-en-sociología-,2020-11-01,Kristen,reid,F,-12.0,FRANCISCO CASAL,Vaughndawn@yahoo.com
166,-universidad-abierta-interamericana,Licenciatura-en-ciencias-biológicas,2021-01-22,Lauren,hess,F,33.0,MERCADO CENTRAL,Micheal05@gmail.com
167,-universidad-abierta-interamericana,Medicina,2020-12-07,Lori,jenkins,F,45.0,BARCALA,Kdavis@gmail.com
168,-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,2020-09-21,Regina,greer,F,50.0,ATREUCO,Besparza@yahoo.com
169,-universidad-abierta-interamericana,Farmacia,2020-12-15,Katie,wood,F,-39.0,AGUADA ALEGRE,Elizabethbaker@hotmail.com
170,-universidad-abierta-interamericana,Técnico-para-bioterios-,2020-11-30,John,turner,M,11.0,ALDAO,Johnsonedwin@gmail.com
171,-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,2020-10-03,Shane,berry,M,-33.0,AGUADA A PIQUE,Moralestheresa@gmail.com
172,-universidad-abierta-interamericana,Técnico-para-bioterios-,2020-11-16,Isabel,hernandez,F,11.0,INDACOCHEA,Dbaker@hotmail.com
173,-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,2021-01-27,Chad,hart,M,13.0,CHAÑARCITO,Hneal@hotmail.com
174,-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,2020-11-18,Eric,campbell,M,-27.0,ALMACEN CASTRO,Nmiller@gmail.com
175,-universidad-abierta-interamericana,Ciencias-veterinarias,2021-01-13,Caitlin,wilson,F,39.0,ARROYO SALADO,Alexander49@yahoo.com
176,-universidad-abierta-interamericana,Diseño-industrial,2021-01-20,Michelle,diaz,F,40.0,ZONA DELTA TIGRE,Benjaminsmith@gmail.com
177,-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,2020-12-02,Sheila,king,F,-23.0,CIUDAD MADERO,Coopermichael@hotmail.com
178,-universidad-abierta-interamericana,Bioquímica,2020-12-06,James,miller,M,-13.0,16 DE JULIO,Kara10@gmail.com
179,-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,2020-12-08,Rachel,ross,F,10.0,AVELLANEDA,John27@hotmail.com
180,-universidad-abierta-interamericana,Farmacia,2020-11-16,Tyler,rojas,M,-8.0,ESTELA,Lowerymichele@gmail.com
181,-universidad-abierta-interamericana,Ingeniería-en-informática,2020-10-31,Kelly,price,F,-32.0,CAMPO CALVO,Ibeck@hotmail.com
